Tweets;Hatespeech
Ich als Frau!!! SEHNE mich, nach diesen bauchgesteuerten, moralingefühlsbeduselten Plapper-Weibern, nach einem VERNUNFT-gesteuerten, Verstandesmann, mit Nüchternheit, Abstand, Sachlichkeit und Verantwortung!;1
da spricht ein Experte hahahaha;0
Natürlich. Und dann muss abgewogen werden.;0
Da wird jetzt über #Impfneid diskutiert,  und es werden Stimmen laut das es ja ungerecht sei dass die  die wegen ihres Jobs schon geimpft sind jetzt auch noch zusätzlich schneller wieder in Bars (Bsp) dürften???!Mal ehrlich Leute was sind denn dass für Menschen auf die ihr da ..;0
"Deutschland (seine Regierung, viele Bürger)braucht derzeit immer wieder Gründe um sich selbst zu feiern und ehren! Ja sogar sich selbst wahr zu nehmen. Von Außen bleibt jedoch diese Anerkennung wohl immer häufiger aus! Was machen die Deutschen nun? Von innen kommt keine Selbstliebe ! Die Glaubenssätze der Deutschen lauten ja offensichtlich derzeit: Ich bin besser, wenn ich gutes tue! Ich werde geachtet , wenn ich helfe! Ich werde geliebt, weil ich mich aufgebe und verzichte! Man misst mich am Maß meines Leidens! - das sind bekanntlich jedoch sehr schlechte Glaubenssätze, die zu dem führen , was wir jetzt haben! Solange sich alle diese Glaubenssätze einreden und einreden lassen , anstelle sich selbst so wie man ist, mit jedem "" ja"" und ""nein"" bewusst lieben, ohne moralischen Überziele über die eigenen Kräfte und realen Möglichkeiten zu stellen, wird dass wohl nichts mehr werden! Die Deutschen Wähler brauchen wieder gute positive Glaubenssätze und keine Millionäre die ihre Kindern mittels beugen des Gesetzes ein paar Minuten Rampenlicht gönnen";1
Sie lernen es nie, links scheint denken schwierig zu sein.;0
Als Deutscher kann man sich nicht für diese Nazis schämen, man kann sie nur für ihre Erbärmlichkeit verachten!Der braune Morast dumpfer Glatzen, der sich lautstark darüber hinwegsetzen will, daß er nur eine erbärmliche Minderheit ist, ein brauner Fleck in unserer Gesellschaft https://t.co/amTbJNQSRs;1
Doch, doch, deshalb sind die Grünen ja so stark in der Statistik. Maskenskandale, Korruption, interne Machtspielchen, schwache und rechtskonservative Dinosaurier als Kandidaten hingegen helfen der Statistik eher wenig. Das ist schon alles richtig so. ??;0
Erneut haben Zehntausende Menschen in der belarussischen Hauptstadt Minsk gegen Präsident Alexander Lukaschenko demonstriert. Ohne Masken oder Sicherheitsabstand. Und das schon seit Wochen. Die Corona Fallzahlen steigen aber nicht. Wenn Demos in Deutschland gegen die Corona Maßnahmen stattfinden, wird Nazi oder Verschwörung gerufen und Abstand oder fehlende Masken angemahnt. Die selben Kritiker feiern die Demos ohne Sicherheitsmaßnahmen von Belarus als ein MUSS. Alles LUG und BETRUG.;1
...ist das nicht der Schwule dem das Koks aus der Hosentasche bei einer Polizeikontrolle gefallen ist, der auch so gerne kleine Jungs mag ? Ein ekelhafter Zeitgenosse......;1
