,Text
0,mein liebe .. sie bilden sich anscheinend auch viel ein -- --
1,der karte mussen in gesicht von frau merkel und herr spahn hoch ziehen werden ......
2,wenn sie kackbraune scheiße blau übermalen wie der klein anstreicher chruppala bleiben es kackbraune afd-scheiße --  setzen sechs -- chrupalla --  -- -- -- -- entlarven der altpartei afd --  # afdrausausdenparlament 
3,666
4,jung was für verfolgung -- der befeuern aus ihr eigentumswohnung querdenker und ich sagen auf twitter -- dass ich der doof finden -- du weißen nichts von verfolgung
5,tja leider sein dein eltern nicht ärztin und ingenieur -- überleg mal woran der wohl liegen -- sie haben sich für dich krumm machen -- und jetzt kommsen du schlaumeier und erzählsen wer von 1. mai -- der sein demütigend für dein eltern --
6,ja und ja -- ihr erklärung dazu -- der sich nicht ganz überzeugen ):  
7,querdenker belagern impfzentre -- verbreiten lüge um mensch von impfen abhalten -- beleidigen und provozieren wenn man maske tragen -- komm mir nicht mit -- anderer leute ihr recht absprechen wollen --
8,7. monat in 2-wochen-lockdown -- jahr 2 der erderhitzung --
9,punkt 2 
10,hetzer -- gegen wen denn --
11,dieser hemlut sein einfach nur ein verstrahlt -- egozentrisch idiot -- der es einfach genießen mehr recht als anderer zu haben -- sein gesabbel bringen uns nichts -- solcher spinner erträgen man einfach --
12,pfizer ein firma der anscheinend der gleich ethik wie nazi todesengel mengele vertreten haben vor einiger jahr als in nigeria ein mningitis welle ausbrechen -- unter der vorwand humanitär hilfe --   verdecken   testmedikamente an kids ausprobieren -- 11 kind tot -- 200 behindern
13,also ich kennn ja solcher leute größtenteils noch aus mein emo phase und der meister sein halt einfach drogensüchtig assis werden ohne groß politisch dabei zu sein -- der aber antifa sticker immer ganz cool finden v.a. der prollig
14,les halt nochmal nach -- wer ursprünglich beabsichtigen sein -- genausogut können ich fragen -- wer aktuell überhaupt zuschauer in stadion verlieren haben -- da nehmen man auch viele billigend in kauf ..
15,# baerbockvshabeck   wie können ein partei so dumm sein -- der unerträglich schrill nervend stimme von  @abaerbock der wohltemperiert sympathisch von habeck vorziehen -- der baerbock werden bei wahlvolk so gut ankommen -- wie kommentatorin claudia neumann bei der männerfußballfan --
16,für ne sekunde aus versehen mit jemand sprechen der d0n alph0ns0 tweets feiern und sich über blm lustig machen naja
17,ot -- oder von mir aus auch rfh --  ich wünschen sich ein statement von  ihnen zu der aktuell ereignis  in israel -- vieler dank --
18,manchmal sein mir 10 sek -- googeln und mal eben 2 screenshot machen angenehm als tippen -- mögen spleenig sein vov  und inhaltlich -- ich sein der scheiß einfach so leid -- fundiert recherche liefern zu sollen -- während -- der gegenseite -- jeder rotz als -- argument -- nutzen -- ich mögen nichmehr --
19,ich sein jetzt schon gespannt wo sie der ganz geld hernehmen wollen was sie da so für klima und gutmenschentum verteilen -- nicht falsch verstehen wenn der gehen sein ich der erster der sich über der # grün schlaraffenland für alle freuen --  -- sein der realistisch -- --
20,-- -- -- --
21,auch der können der union   zu beispiel nicht -- politik auch mal mit humor verbinden -- eigentlich können der union gar nichts außer abkassieren oder --
22,immer wieder schön ahnungslos mensch schwadronieren zu hören --
23,-- weg der widerstand -- -- 10 - 16 uhr ): infostand von u.a. ag antifa barmbeker ini gegen recht -- bergedorfer für völkerverständigung e.v. -- linksjugend solid hamburg -- volksinitiative für hamburg und verdi ak frieden --
24,grün schizophrenie -- sie wollen kein waffe nach israel liefern -- begründung -- kein waffenlieferung in krisengebiet -- gestern -- wir müssen waffe in der ukraine liefern -- weil der -- nun ja --  
25,afd gehen mit duo weidel und chrupalla in der bundestagswahlkampf 
26,kann einer bitte bitte diesen mann endlich stoppen -- irgendjemand muss es machen --
27,der greenpeace sich nicht schämen --  da haben bestimmen einiger zuschauer und spieler angst --  hatten ihr wohl schon vergessen --  fussballspiel in paris -- auch deutschland -- frankreich -- inkl. kalashnikov -- handgranate -- sprengstoff -- tatp -- westen -- zeitgleich mit der anschlag bataclan --
28,-- der eigen parteifreund -- innen sollen [ -- ] überzeugen werden -- --  vier erfolg damit -- ehrlich meinen --  der überzeugung gelingen aber leider am gut über angstargumente der wahl zu verlieren --  für sachargument sein der cdu leider taub --  sehen merz bei lanz -- und merz sein team laschet --
29,selbst der anderer gäste mussen laschet zustimmen -- denn es gehen letztendlich auch darum -- dass wir alle noch lohn und brot haben -- dafür haben frau neubauer nur ein kopfschütteln übrig --
30,echt jetzt paul --  statt de de über alle gibt'sn   wichtigeres --  der wert ein mensch sollen an erster stelle stehen nicht der was der daraus machen haben -- lobbyiere   lüge -- betrügen u. der eigen portemonnaie füllen stehen für euch an erster stelle -- # niemehrcducsu 
31,stell dir vor -- nazi -- sein über jahrzehnt ein schimpfwort -- wie zu beispiel hurensohn und plötzlich geben es einige -- der sogar stolz drauf sein -- so nennen zu werden -- dann werden es immer mehr und du willst auch ein hurensohn -- -- sorry -- -- ich meinen nazi sein 1 --
32,grosse welle --  wie gehen es ihr auge -- -- -- 
33,also auch ich als heterosexueller mann fühlen sich nicht diskriminieren  kein ahnung wie sie auf so was kommen  ganz in gegenteil ich finden es toll der manuel neu für diversität und gleichgeschlechtlich liebe einstehen -- -- -- --
34,-- giftspritze -- disqualifizieren sie schon ohne dass man weiterlesen müssen -- --  # schwurbler # leerdenker
35,hm -- ich glauben echt alle wer du anderer vorwirftst -- sein geeignet um vor dein eigen tür zu kehren -- -- soviel aggression ohne grundlage und ohne sinn -- ne menge energie der du in falsch rohr schießen -- du kannen weiter rumjammern -- der es querdenker geben -- mich stören der nicht --
36,und dabei sein ein nährstoffreich vegan ernährung echt kein hexenwerk und sowohl lecker als auch gesund -- -- -- -- wissen echt nicht wie man der in jahr 2021 immer noch nicht checken und sein ernährung umstellen haben können -- -- -- -- -- -- --
37,maaßen sein vor alle ein -- inkompetent --
38,unertl csu vogelscheuche und der grün annalena   baerbock 
39,# impfneid -- als ob ..  wieder so ein völlig schwachsinnig framing-begriff
40,übrigens wenn sie teil ein studie werden -- müssen sie dafür einwilligen --
41,wenn ich medium und -- gleichgeschaltet -- in zusammenhang mit unser land lesen -- bekommen ich immer der würgen --  dieser framing dienen doch nur der unterdrückung von diskussion durch rechter -- der schauspieler so etwas mitmachen sein einfach nur zu -- -- -- -- -- --
42,der westen werden grün -- -- arabisch vielleicht -- aber doch nicht grün -- --
43,uns gehen es sehr gut -- vergleichen mit anderer ort auf der erde -- der pandemie werden vorbei gehen und alle werden sich wieder normalisieren -- ich hoffen -- dass sich dann so mancher querdenker vor sein kind und enkel schämen werden -- wenn sie über dieser kapitel der geschichte reden --
44,ich warten weiter auf ihr statement zu 1.mai und zu entschuldigung bezüglich ihr lüge zu durchschnittsalter der its-patient
45,come to rhineland palatinat -- the land where milk and honey flows and -- wisdom queen rules -- ich schreib der auf englisch weil rlp auf englisch so ulkig klingen -- 
46,witzig auch weil du der meinung sein der es kein aufschrei in dt -- geben werden wenn der impfung so schlimm sein --
47,und der kapitänsbinde -- hm --
48,man muss nur an der unsinn glauben der man schreiben -- oder -- wir sein viel weit -- fast frei --   haben wir der total lockdown -- auch tagsüber -- schon vor ein jahr durchführen wie von seriös virolog empfehlen --
49,es werden zeit -- dass angela merkel für jens spahn ihr vollst vertrauen aussprechen --
50,"ich finden deine berichterstattung sehr viel verstörend .. aber anscheinend bekommsen du der geld von der afd immer in der dumm skala -- von 10 --   können auch aus der bild sein -- wenig geld -- bis 1,ist so dämlich der es auch afd wähler verstehen -- viel geld -- -- sein ja alle dabei -- "
51,der haben karlsruhe der erzählen 
52,was es trotzdem jetzt brauchen  -- kohleausstieg 2025  -- massiv ausbau erneuerbar  -- weniger fleisch -- co2 -- methan --    tierschutz etc. --  -- agrarwend  -- energiedämmung -- --  -- hoch spritpreis  -- kein straßenpanzer  -- kerosinsteuer  -- weniger inlandsflug  -- bahnausbau  -- öpnv -- ausbau & amp -- frei
